а	and,but,oh well,while
личность	identity,individual,person,personality,self,selfhood
личный	personal,private
личутин	lichutin
лишай	herpes,lichen,ringworm,tinea
лишайник	lichen
лишайница	footman moth
лишать	deprive
лишение	deprivation
лишить	deprive
лишний	additional,excess,redundant,superfluous,unnecessary,unused
лишь	only
лишённый	devoid
лоб	forehead
лобан	flathead mullet,gray mullet,haarder
лобанов	lobanov
лобашов	lobashov
лобби	entrance hall,lobby,vestibule
лоббизм	lobbyism
лоббирование	lobbying
лоббировать	lobby
лоббист	lobbyist
лобелия	lobelia
лобковый	pubic
лобовой	front,frontal,head-on
лобок	pubis
лобоносовой	frontonasal
лоботомия	lobotomy
лобстер	lobster
лобызать	kiss
ловеласничество	womanizing
ловердек	lower deck
ловец	hunter
ловить	catch,prey,receive,trap
ловко	skillfully
ловкость	adroitness,deftness,dexterity
ловля	catching,hunting
ловушка	trap
ловчить	dodge
логан	logan
логарифм	log,logarithm
логика	logic
логин	login
логистика	logistics
логистический	logistic
логически	logically
логический	logical
логично	logically
логичный	consistent,logical
логовище	den
логопатия	logopathy
логопед	logopaedist,logopedist,speech therapist
логофет	logothete
логофобия	glossophobia
лодка	boat
лодочка	boat,keel,pump,slipcover
лодырь	idler,lazybones,loafer,slacker
ложа	gun stock,rifle stock
ложбан	lojban
ложбина	comb
ложе	bed,channel
ложить	lay
ложиться	lie down
ложка	spoon,teaspoon
ложников	lozhnikov
ложница	bedchamber,bedroom,sleeping room
ложно	falsely
ложногусеница	sawfly larva
ложноножка	pseudopod,pseudopodium
ложноположительный	false-positive
ложность	fallaciousness,falsity
ложь	deception,falsehood,lie
лоза	rod,switch,vine
лозанна	lausanne
лозняк	willow bush,willow-bush
лозовая	lozova
лозунг	buzzword,catchword,motto,slogan,watchword
лойе	loeillet
лок	lock,loco
локализация	localization
локализированный	localized
локализованный	localized
локализовать	allocate,contain,localize,locate,position
локальный	local
локатор	locator,radar set
локаут	lockout
локационный	location
локация	finding,locating,location
локомоторный	locomotive,locomotor,locomotory
локон	curl,lock,ringlet
локоть	cubit,elbow,ell,ulna
локсодрома	loxodrome,rhumb line
локсодромический	loxodromic,loxodromical
локсодромия	loxodrome,rhumb line
локсодромный	loxodromic,loxodromical
локтевой	ancipital,anconal,anconeal,ulnar
локтионов	loktionov
локус	locus
лол	lol
лолита	lolita
лолли	lolly
лом	breaker bar,crow,crowbar,fragments,scrap,waste
ломаный	broken
ломать	break,crush,demolish,fracture,smash
ломаться	break,break down,crack,mince,pose
ломбард	pawn shop,pawn-shop,pawnshop
ломидзе	lomidze
ломить	to ache
ломкий	breakable,brittle,fragile,friable
ломоносов	lomonosov
ломонтит	laumontite
ломота	ache,pain
ломтик	slice
лонгборд	longboard
лонгбординг	longboarding
лондон	london
лонжерон	longeron,spar
лоно	asylum
лонсдейлит	lonsdaleite
лопасть	blade,fan,vane
лопата	shovel,spade
лопатка	scapula,shoulder blade,shoulder-blade
лопатообразный	paliform,spatulate
лополит	lopolith
лопоухий	dim-witted,lop-eared
лопух	burdock,simpleton
лопухин	lopukhin
лорд	lord
лоренс	laurence,lawrence
лори	loris,lory
лорнет	lorgnette
лорнетка	lorgnette
лосины	buckskin breeches,buckskins
лоск	gloss,lustre
лоскут	part,patch,rag,shred
лосось	salmon
лось	elk,loss,moose
лот	lead,lot,plumb,plummet,sounding lead
лотарингец	lorrainer,lorrainian,lotharingian,lothringian
лотарингия	lorraine
лотарингский	lorrainian,lothringian
лотерея	lottery
лотлинь	lead-line,leadline
лото	bingo,lotto
лоток	culvert,gutter,run,through,tray
лотос	lotus
лоточек	chute,hod,pan,rocker,run,tray
лоточник	hawker
лоточница	woman-hawker
лотти	lottie
лоурайдер	lowrider
лоуренсий	lawrencium
лохан	lohan
лохануться	blunder,fail
лохмотья	rags
лохокост	holocaust
лоция	sailing directions
лочить	lock
лошадь	horse
лошак	hinny
лощев	loshchev
лощение	glossing,polishing
лощина	dell
лощёный	glossy,polished
лоялист	loyalist
лоялистка	loyalist
лояльность	allegiance,loyality
лояльный	allegiant,lenient,loyal,non-judgemental,true-blue,unjaundiced,unprejudiced
луб	phloem
лубок	bast,popular print,splint
лубрикант	lubricant
лубяной	bass,bast
луг	grassland,greenland,meadow
луганда	ganda,luganda
луговой	lugovoi,lugovoy,meadow
луддизм	luddism,ludditism
луддит	luddite
лудильщик	tinman,tinsmith,whitesmith
лудин	ludin
лужа	puddle,slop
лужаечка	lawn
лужение	tinning,whitening
лужичанка	sorb,wend
лужённый	pretinned
лужёный	pretinned
лузга	husks
лузгать	nibble
лузитания	lusitania
лузофон	lusophone
луиза	louisa
луизиана	louisiana
луизианский	louisianan,louisianian
лук	appearance,bow,bulb,green onion,look,onion
лука	bend,pommel
лукинов	lukinov
луковицеобразный	bulbous,onion
луковый	onion
лукошко	bast basket
лукуллов	lucullan,lucullean
лулз	lulz
луллианский	llullian
луна	luna,moon
лунатизм	lunacy,sleepwalking,somnambulism
лунатический	noctambulant,somnambulic,somnambulistic
лунда	lunda
лунинец	luninets
лунка	hole
лунник	honesty,lunaria,lunik
лунный	moon
лунотрясение	moonquake
лунь	harrier
лупа	loop,loupe,magnifier,magnifying glass
лупанарий	lupanar
лупулин	lupulin
луток	smew
луцк	lutsk
луч	beam,ray
лучевой	ray
лучеобразный	ray-like
лучина	chip,splinter
лучистый	radial,radiant,radiating,radiation,rayonnant
лучник	archer
лучше	better,preferably
лучший	best,better,the best
лущить	crack
лыжа	ski
лыжи	skiing
лыжник	skier
лыжня	ski track
лыко	bass,bast
лыков	lykov
лыковый	bast
лысеть	bald,grow bald
лысина	bald spot
лысуха	coot
лысый	bald,bald-headed
ль	whether
львица	lioness
львов	lviv,lvov
львовянка	lvivian
львёнок	lion cub
льгота	advantage,exemption,franchise,immunity,privilege
льдина	floe
льдогенератор	ice generator,ice machine,icemaker
лье	league
льеж	liege
льноводчество	flax cultivation,flax-growing
льноволокно	flax fibre
льномяльный	flax-breaking
льнопрядение	flax spinning
льнопрядильный	flax-spinning
льносемя	flaxseed,linseed
льнуть	cling,stick
льнянка	toadflax
льняной	flax,linen
льстец	adulator,fawner,flatterer
льстить	flatter
лэптоп	laptop
любвеобильность	amorouosness,concupiscence
любвеобильный	loving
любезный	courteous
любимец	favourite,fondling
любимов	lyubimov
любимый	beloved,dear,favourite,loved,precious
любисток	lovage
любитель	amateur
любить	love,to love
люблянец	ljubljanan
любоваться	admire
любовник	lover
любовница	lover
любовь	affection,love,lubov,lyubov,passion
любодеяние	fornication,lechery
любознательный	curious,inquisitive
любой	all,any,anyone,every
любоначалие	ambition
любопрительный	quarrelsome
любопытный	curious,interesting
любопытство	curiosity
любопытствовать	pry
любэ	tenge
любящий	loving
люверс	cringle,eyelet
люд	folk,people
людиново	lyudinovo
людмила	ludmila
людный	busy,crowded
людоед	anthropophagus,cannibal,man-eater
людоедский	cannibalistic
людоедство	anthropophagy,cannibalism
люк	hatch,hatchway,manhole
люкс	deluxe,lux,luxurious,luxury,premium
люксация	luxation
люксембург	luxembourg
люксембургский	luxembourgian,luxembourgish
люксембурженка	luxembourger
люксембуржец	luxembourger,luxembourgian
люксембуржка	luxembourger
люксембуржский	luxembourgian,luxembourgish
люкшин	luykshin
люминал	luminal,phenobarbital
люминесцентный	luminescent
люминесценция	luminescence
люминесцировать	luminesce
люминофор	luminophore
люмпен	lumpen
люнет	lunette
люпин	lupin,lupine
люстра	chandelier,lustre
люстрация	lustration,purge,purging
люстриновый	lustrine,lutestring
люся	liusja
лютеин	lutein
лютеиновый	lutein,luteinic
лютейший	fiercest
лютеранка	lutheran
лютеций	lutecium,lutetium
лютневый	lute
лютнист	lutanist,lutenist,luter,lutist
лютнистка	lutenist,lutist
лютня	lute
лютовать	be bestial,be ferocious,behave ferociously
лютый	fierce
лютье	luthier
люфт	air gap,backlash,gap,looseness,lost motion,play
люцерна	alfalfa,burclover,medick
люцина	lutsina,lyutsina
люцит	lucite,perspex
люцифер	lucifer
люцифераза	luciferase
лягать	kick
лягушечий	anuran,ranarian,ranine
лягушечка	froglet
лягушка	frog
ляжка	haunch,loin,thigh
лязгать	clack
лялякать	yak
лямбда	lambda
лямблия	lamblia
лямка	carrying sling,shoulder-strap,sling,tug
ляпалиссиада	lapalissade
ляпис	lunar caustic,silver nitrate
ляпсус	blunder
лярд	lard
лёгкий	easy,facile,light,lightweight
лёгкое	lung
лёгкость	easiness,lightness
лёд	ice
лёжа	lying
лёжкость	keeping capacity
лён	common flax,flax,linen,linseed,lint
лёсс	loess
лёт	flight
лётчик	aviator,flyer,pilot
ма	mom,mommy
маар	maar
мавзолей	mausoleum
мавр	moor
маврикиец	mauritian
маврикий	mauritius
маврикийка	mauritian
мавритания	mauritania
мавританка	mauritanian
маг	mage,magician,sorcerer,wizard
магаз	shop
магазин	clip,magazine,shop,store
магас	magas
магдалина	madalyn,magdalene,magdalina
магистрал	magistral
магистраль	highway,main line,thoroughfare
магически	by magic,magically
магический	magic,magical
магия	enchantment,magic,sorcery,witchcraft,wizardry
магл	muggle
маглев	maglev
магма	magma
магматизм	magmatism
магматический	magma,magmatic
магнат	baron,magnate,tycoon
магнезиоклинохолмквистит	magnesioclinoolmquistite
магнезит	magnesite
магнезия	magnesia
магнетар	magnetar
магнетизация	magnetisation,magnetization
магнетизм	magnetism
магнетит	magnetite
магнетитовый	magnetite
магнетически	magnetically
магнетический	magnetic
магнетичный	magnetic
магнето	magneto
магнетон	magneton
магнетохимия	magnetochemistry
магнетрон	magnetron
магний	magnesium
магнит	magnet
магнитить	be magnetic,magnetize
магнитно	magnetically
магнитный	magnetic
магнитогидродинамика	magnetohydrodynamics
магнитогидродинамический	magnetohydrodynamic
магнитограмма	magnetogram
магнитометр	magnetometer
магнитометрический	magnetometric
магнитометрия	magnetometry
магнитооптика	magneto-optics,magnetooptics
магнитооптический	magneto-optical,magnetooptic,magnetooptical
магнитострикция	magnetostriction
магнитосфера	magnetosphere
магнитотерапия	magnetotherapy
магнитофон	tape player,tape recorder,tape-recorder
магнитохимия	magnetochemistry
магнитуда	magnitude
магнолия	magnolia
магнон	magnon
магометанин	mahometan
магрибинец	maghrebian
мадагаскар	madagascar
мадагаскарец	madagascan
мадагаскарка	madagascan
мадаев	madayev
мадаполам	madapolam,madapollam
мадейра	madeira
мадейрец	madeiran
маделейн	madeleine
мадера	madeira
маджонг	mahjong
мадрепоровый	madreporic
мадригал	madrigal
мадридский	madrilenian
мадурский	madurese
маета	hassle,trouble
мажимель	magimel
мажор	major key
мажоранта	majorant
мажорантный	majorant,majorized,majorizing
мажордом	majordomo
мажоретка	majorette
мажорирование	majorization
мажоритарный	majoritarian,majority
мажорный	major
мазанка	wattle house
мазать	miss,spread
мазаться	dirty oneself,stain oneself
мазеобразный	buttery,pasty,unctuous
мазня	blurring,daub,poor painting,smear
мазок	dab,dash,smear,stroke,swab,touch,unguentum
мазохизм	masochism
мазохист	masochist
мазохистка	masochist
мазохистски	masochistically
мазохистский	masochistic
мазур	mazur
мазурка	mazurka
мазут	fuel oil,mazut
мазь	cream,grease,lubricant,ointment
маис	maize
май	may
майданник	rattler grab
майка	shirt,singlet,t-shirt,undershirt,vest
майкоп	maykop
майкрософтовский	microsoftian
майн	main,mayn
майнинг	mining
майнкрафтер	minecrafter
майолика	maiolica
майонез	mayo,mayonnaise
майор	major
майоран	marjoram
майорат	majorat
майоттец	mahorais
майтхили	maithili
майя	maia,maya,maya river
мак	poppy,poppy-seed,poppyseed
макабрически	macabrely
макабрический	macabre
макадам	macadam
макака	macaca,macaco
макаронический	macaronic
макароны	macaroni
макать	dip,dunk
македония	fyrom,macedon,macedonia,northern macedonia
македонка	macedonian
македонянин	macedonian
макеев	makeyev
макет	layout,mockup
макетировать	make up,prototype
макиавеллевский	machiavellian,machiavellic
макиавеллиевский	machiavellian
макиавеллизм	machiavellianism
макидзуси	makizushi
макинтош	macintosh
макитра	makitra
макияж	make-up,makeup
маккуин	mcqueen
маклер	broker
маклин	mclean
маклюра	maclura
макрасана	makarasana
макроассемблер	macroassembler
макровызов	macro call,macrocall
макрокосм	macrocosm
макрокосмос	macrocosm
макромасштаб	macroscale
макромир	macrocosm
макрообъектив	macro lens
макроорганизм	macro-organism,macroorganism
макроподстановка	macroexpansion
макрополе	macrofield
макропроцессор	macro processor
макрорельеф	macrorelief
макросистема	macrosystem
макроспора	macrospore
макросъёмка	macro photography,macrophotography
макроуровень	macrolevel
макрофаллос	macropenis,macrophallus
макрочастица	macroparticle
макс	max
максвелл	maxwell
максим	max,maxim
максимализм	maximalism
максимальный	maximal,maximum
максимов	maksimov,maximov
максимум	maximum
макстерм	maxterm
макула	macule
макулатура	waste paper
макушка	summit,top
малави	malawi
малавиец	malawian
малавийка	malawian
малагасиец	malagasy
малагасийка	malagasy
малагасийский	malagasy
малаец	malay,malayan
малайзиец	malaysian
малайзийский	malaysian
малайзия	malaysia
малайский	malay,malayan
малаколог	malacologist
малакологический	malacological
малакология	malacology
маламут	malamute
маланга	malanga
малахит	malachite,mountain green
малахов	malakhov
малаялам	malayalam
малеиновый	maleic
малейший	least,slightest
маленький	little,small
малефактивный	malefactive
мали	mali
малиец	malian
малийка	malian
маликов	malikov
малина	raspberry
малинник	raspberry canes
малиновка	raspberry brandy,redbreast,robin
маллеин	mallein
мало	few,little
маловероятный	unlikely
малогабаритный	small-sized
малодушие	cowardice,faintheartedness,pusillanimity
малодушничать	lose heart
малодушный	cowardly,faint-hearted,pusillanimous
малозатратный	low-cost
малоинтенсивный	low-intensity
малокалиберный	small-bore
малоконтрастный	low-contrast
малолесный	forest-poor
маломальский	least,slightest
малоновый	malonic
малоротка	japanese smelt
малосольный	fresh-salted
малость	a bit,a little,a tad,bagatelle,smallness,somewhat
малоупотребительный	uncommon
малый	boy,diminutive,fellow,guy,lad,little,petite,small,tiny
малыш	kid,minnow,toddle,toddler
малышня	kids,little ones
мальва	mallow
мальдивец	maldivian
мальдивский	maldivian
мальдивы	maldives
мальпигиевые	malpighiaceae
мальтиец	maltese
мальтийский	maltese
мальтодекстрин	maltodextrin
мальтоза	maltose
мальформация	malformation
мальцев	maltsev
мальчик	boy,boys,lad
мальчишка	boy,greenhorn,urchin
мальчишник	bachelor party,stag-party
мальчуганка	tomboy
малюсенький	tiny little,titchy,wee,weeny
маляр	painter
малярийный	malarial
маляриолог	malariologist
маляриология	malariology
малярия	malaria
малёк	a bit,a little,fry,young fish
мама	female,mamma,mommy,mother,motherboard,mum,mummy
мамаша	mother
мамин	mamin
мамкоёб	motherfucker
мамлюк	mamaluke,mameluk,mameluke
мамлютка	mamlyutka
мамонин	mamonin
мамонт	mammoth
мамочка	mommy,mummy
мамоёб	motherfucker
мамура	arctic bramble,arctic raspberry
манагуа	managua
манга	manga
мангал	brazier,chargrill,mangal,outdoors grill
манганин	manganin
манганит	manganite
мангано	mangano
мангль	mangle,mangrove
манго	mango
мангольд	chard,mangold
мангровый	mangrove
мангуст	mongoose
мангышлак	mangyshlak
мандала	mandala
мандарин	mandarin,mandarin chinese,tangerine,tangerine tree
мандат	mandate
мандвивала	mandviwala
мандола	mandola
мандолина	mandolin
мандолинист	mandolinist
мандрагора	mandragora,mandrake
мандражировать	have butterflies,shiver
мане	manet
манеж	manege,riding hall,riding house
манекен	dummy,lay figure,mannequin,model
манекенщица	model
манерный	affected,mannered,precious,pretentious
манетка	shifter
манзини	manzini
маниакальноподобный	mania-like
маниакальный	maniacal,manic
маникюр	manicure
манила	manila
манимейкер	moneymaker
маниока	cassava,manioc,yuca
манипулировать	handle,manipulate
манипулируемость	manipulability,manipulatability,manipulatibility
манипуляционная	manipulation room
манипур	manipur
манить	beckon
манифест	manifest,manifesto
манифестировать	demonstrate
манихеец	manichaean,manichaeist,manichean,manichee
манихеист	manichaean,manichaeist,manichean,manichee
манихей	manichaean,manichaeist,manichean,manichee
манихейский	manichaean,manichean
манишка	dicky,shirtfront
мания	mania
манка	semolina
манн	mann
мансарда	attic,garret,mansard
манси	mansi
мансиец	mansi
мансийка	mansi
мансийский	mansi
манта	devil ray,devilfish,manta
мантилья	mantilla
мантия	cloak,mantle
мантра	mantra
манту	mantoux test
манты	dumpling,mantou
мануальный	manual
манул	manul
манускрипт	manuscript
мануфактура	drapery,dress materials,manufactory,textile mill,textiles
манчестерский	mancunian
маньеризм	mannerism
маньерист	mannerist
маньтоу	mantou
маньчжур	manchurian,mandchou
маньчжурец	manchurian,mandchou
маньчжурия	manchuria
маньчжурка	manchurian
маньчжурский	manchurian
манёвр	maneuver,manoeuvre,switch
маоизм	maoism
маоистский	maoist
мапа	map
маппинг	mapping
мара	mara,mare
марабу	marabou
мараведи	maravedi
маракуйя	passion fruit,passionfruit
марал	maral,siberian stag
марат	marat
маратхи	marathi,marathi language
марать	blemish,daub,dirty,scribble,smut,soil,stain,sully,tarnish
марашка	slur
марвари	marwari
марганец	manganese
марганецсодержащий	manganous
марганцовистый	manganese,manganic,manganous
марганцовокислый	permanganate,permanganic
маргарин	margarine
маргарита	margaret,margarita
маргаритка	daisy
маргинализация	marginalization
маргиналия	marginals
маргинальный	fringe,marginal
марджери	margery
марджи	margie
мареев	mareev,mareyev
маренго	greyish black
мареограф	tide-gauge
маржа	margin,spread
марзан	clump
марианна	marianna,marianne
марий	marius,mariy,mary
марийский	mari
маримба	marimba
марина	marina
маринад	marinade
маринист	seascape painter
маринка	marinka
мариновать	marinate
марионетка	marionette,puppet
марионеточный	puppet
марица	maritza
мария	maria,mary
марк	marcus,mark
марка	march
маркграф	margrave
маркелов	markelov
маркетинг	marketing
маркетолог	marketer
маркетология	marketology
маркетри	marqueterie,marquetry
маркиз	marquess,marquis
маркиза	awning,canopy top,marchioness,marquee,marquise,sun blind,sunblind
маркированность	markedness
марковский	markov,markovian
марксизация	marxization,marxizing
марксизм	marxism
марксист	marxist
маркшейдер	mine surveyor,surveyor
марлин	marlin
марлинь	houseline,marline
марля	gauze
мармелад	marmalade
мармозетка	marmoset
мародёр	looter,marauder,pillager
мародёрство	looting,marauding,pillage,plunder
марокканец	moroccan
марокканка	moroccan
марокко	morocco
марсала	marsala
марсель	topsail
марсианин	martian
марсианский	martian
марсотрясение	marsquake
марсоход	mars rover
март	march
мартин	martin
мартириум	martyrion,martyrium
мартиролог	martyrology,passional
мартовский	march
мартын	martin
мартынов	martynov
мартышка	marmoset
мартышкин	monkey
марухленко	marukhlenko
марфа	marfa,martha
марш	march
маршал	marchal,marshal,marshall
маршировать	march
маршрут	itinerary,route,service
маршрутизатор	router
марья	mary
марьяж	marriage,matrimony
марьянник	cow-wheat
масала	masala
маска	disguise,mask
маскарад	masked ball,masquerade
маскерад	masquerade
маскировать	camouflage,disguise,mask
маскот	mascot
маскулинизм	masculinism
масленый	buttered,buttery,lustful,oiled,oily,sensual,sugary,syrupy
маслинный	olive
маслиновые	oleaceae
масло	butter,oil
маслобак	oil tank
маслобойка	churn,oil mill
маслодельня	dairy
маслоносный	oleiferous
маслосборник	drip cup,oil catcher,oil collector,oil cup,oil pan,oil reservoir
маслосодержащий	oil-filled,oily
маслянистый	buttery,oily
маслёнкин	maslyonkin
масоги	matsogi
масонский	masonic
масонство	masonry
масорет	masorete,masorite
масса	bulk,ground,mass,paste
массагет	massagetean,orthocorybantian
массаж	massage
массажистка	massagist,masseuse
массачусетс	massachusetts
массив	array,massif,solid
массивность	massiness
массированный	massed,massive
массовый	bulk,mass,popular
мастер	craftsman,dab,expert,foreman,master,repairman
мастеринг	mastering
мастерок	plane,trowel
мастерская	shop,studio,workshop
мастерски	expertly,masterfully
мастерство	craftsmanship,handicraft,mastery,skill,trade,workmanship
маститый	expert,mature,venerable
мастиф	mastiff
мастодонт	mastodon
мастроянни	mastroianni
мастурбация	ipsation,ipsism,masturbation,onanism
мастурбировать	masturbate
мастэктомия	mammectomy,mastectomy
масштаб	scale
масштабировать	resize,scale,zoom
масштабируемость	scalability
матвей	matthew,matthias
матвиенко	matviyenko
математизировать	mathematize
математик	mathematician
математика	math,mathematics
математически	mathematically
математический	mathematic,mathematical
матереть	become hardened,mature
материал	cloth,material,stuff
материализм	materialism
материализовать	materialize
материалист	materialist
материалистически	materialistically
материалистический	materialist,materialistic
материалистичный	materialistic
материаловед	material scientist
материаловедение	material science
материалоёмкость	materials consumption
материально	financially,materially
материальный	financial,material,pecuniary
материк	continent,mainland
материнский	maternal,motherly
материнство	maternity,motherhood
материться	swear
материя	fabric,matter,substance
матерный	dirty,foul
матерщинник	foul-mouth
матерщинница	foul-mouth
матерьял	material,stuff
матильда	matilda
матинэ	morning gown
матица	joist,tie beam
матка	dam,female,matrix,mom,mother,queen,tender,uterus,womb
матовость	dullness,matt,opacity
матрас	mattress
матрац	mattress
матриарх	matriarch
матриархальный	matriarchal
матриархат	matriarchate,matriarchy
матрилинейный	matrilineal,matrilinear
матримониальный	matrimonial
матрица	matrix
матроклинный	matroclinal,matroclinous
матрона	matron
матроним	matronymic
матрос	sailor,seaman
матрёшка	matryoshka,russian doll
матсьясана	matsyasana
маттиола	stock
матч	game,match
матча	matcha
мать	mother
матюгальница	foul-mouth
матюхевич	matiuchvitch
матюшкин	matyushkin
мафиози	mafiosi,mafioso
мафит	mafite
мафический	mafic
мафия	mafia
маффин	muffin
маха	maja
махаджанапада	mahajanapada
махаон	swallowtail
махарани	maharani
махараштра	maharashtra
махать	wave
махачкала	makhachkala
махинатор	contriver,fraud,machinator,trickster
махинация	machination
махист	machist
махновщина	makhnovschina
махнуть	exchange,leap,rush,swap,wag,wave
махнёв	makhnev
махо	majo
маховик	flywheel,handwheel
махолёт	ornithopter
махос	majo
махровый	double
маца	matzo,matzoth
мацони	matsoni,matzoon
мацонщик	dairy farmer,milkman
мачете	machete
мачетеро	machetero
мачеха	stepmother
мачизм	machismo
мачо	macho
мачта	mast
маша	masha
машина	car,machine
машинальный	absent-minded,mechanical
машинизировать	mechanize
машинист	engineer,locomotive driver,train driver
машинистка	typist
машинный	engine,machine
машиноведение	engineering science
машинозависимый	computer-dependent,machine-associated,machine-sensible
машиностроение	engineering industry,machine building,machinery construction,mechanical engineering
машиностроительный	engineering,machine-building,mechanical
машиночитаемость	machine-readableness
машиночитаемый	machine-readable
машук	mashuk
маюрасана	mayurasana
маяк	beacon,lighthouse
маяковский	mayakovsky
маятник	balance,pendulum
маять	exhaust
мгла	darkness,haze,mist
мгновение	heartbeat,instant,moment,twinkling
мгновенно	instantaneously,momentarily
мгновенный	instantaneous,momentary
меандр	fret,meander
меандрирование	meander
меандрировать	meander
меандрический	meandering
мебель	furniture
меблировать	furnish
меблировка	furnishing,furniture
меблировщик	furnisher
мегабайт	megabyte
мегаватт	megawatt
мегавольт	megavolt
мегавулкан	megavolcano
мегагерц	megacycle,megahertz
мегаджоуль	megajoule
мегазооспора	megazoospore
мегалитический	megalithic
мегаломания	megalomania
мегалополис	megalopolis
мегамост	mega-bridge
мегантроп	meganthropus
меганьютон	meganewton
мегаом	megaohm
мегаомметр	megohmmeter
мегапарсек	megaparsec
мегасделка	megadeal
мегасома	macrosome
мегафлопс	megaflops
меггер	megaohmmeter,megger,megohmmeter
мегги	maggie
мегхалая	meghalaya
медалист	medal winner,medallist
медаль	medal
медальон	medallion
медведка	mole cricket
медведь	bear
медвежатник	safecracker
медвежонок	bear cub
медвепут	medveput
медвяный	honey sweet,honey-sweet,honeysweet
меддах	meddah
медиа	media
медиана	median
медиастинальный	mediastinal
медиастинография	mediastinography
медиатор	mediator
медиафраншиза	media franchise
медиацирк	media circus
медиевализм	medievalism
медиевалист	medievalist
медиевалистский	mediaevalistic,medievalistic
медиевист	medievalist
медиевистика	medieval history,medieval studies
медий	medium,middle voice
медик	medic
медикамент	drug,elixir,medicament,medication,medicine,pharmaceutical
медикаментозный	medicamental,medicamentous
медитативный	meditative
медитация	meditation
медитировать	meditate
медицина	medicine
медицинский	medical,medicinal
медленно	slowly
медленность	slowness
медленный	slow
медляк	slow dance
медногорск	mednogorsk
меднорудный	copper-ore
медный	copper,cupreous,cupric,reddish-yellow
медовар	mead maker
медовуха	mead
медовщиков	medovshchikov
медоед	honey badger,ratel
медонос	melliferous plant
медпункт	aid station,surgery
медресе	madrasa,madrasah,madrassah,madrasseh
медсестра	nurse
медуза	jellyfish,medusa
медула	medulla
медуница	lungwort
медь	copper
медяк	copper
межа	abutment,abuttal,boundary,boundary path
межатомный	interatomic
межвидовой	interspecific
межгалактический	intergalactic
межгорье	intermontane region
межгрудка	cleavage
межгрупповой	intergroup
междометие	interjection
междоузлие	internode
между	amid,amidst,among,amongst,between,out of
междувидовой	interspecific
междугородный	intercity,interurban
междуметие	interjection
международный	international
междуплеменной	intertribal
междуцарствие	interregnum
междуцеховый	inter-workshop
междуштатный	interstate
межевать	survey
межень	low water
межжаберный	interbranchial
межзвёздный	interstellar
межклассовый	interclass,intergroup
межклетник	intercellular space
межколхозный	interkolkhoz
межкультурный	intercultural
межледниковье	interglacial,interglaciation
межмолекулярный	intermolecular
межносовой	internasal
межпалестинский	inter-palestinian
межпалубный	tween-deck,tweendeck
межпланетарный	interplanetary
межпланетный	interplanetary
межплеменной	intertribal
межпоколенческий	intergenerational
межправительственный	intergovernmental
межпраздничный	postholiday
межрасовый	interracial
межреберье	intercostal space
межсоединение	conduction path,connection path,interconnection
межфирменный	intercompany
межчеловеческий	interhuman
межъязыковой	interlingual,translingual
мезальянс	mesalliance
мезга	vegetable pulp
мездряной	scrapings
мезенхима	mesenchyma,mesenchyme
мезенхимный	mesenchymal
мезмай	mezmay
мезоатом	mesoatom
мезодерма	mesoderm
мезозой	mesozoic
мезолит	mesolithic
мезолитический	mesolithic
мезонин	attic storey,entresol,mezzanine
мезоплазма	mesoplasm
мезоскопический	mesoscale,mesoscopic
мезотрон	mesotron
мезофаринкс	mesopharynx,oral pharynx,oropharynx
мей	may
мейбл	mabel
мейк	make
мейкап	make
мейми	mamie
мейнстрим	mainstream
мейнфрейм	mainframe
мейтнерий	meitnerium
мекка	makkah,mecca
меккано	meccano
меконий	meconium
мексика	mexico
мексиканец	mexican
мел	chalk,cretaceous
меладзе	meladze
меламин	melamine
меланезийский	melanesian
меланезия	melanesia
меланжер	blender
меланизм	melanism
меланин	melanin
мелания	melania,melanie
меланхолически	melancholically
меланхолично	melancholically
меланхоличный	melancholic
меланхолия	melancholia,melancholy,spleen
меланхольный	melancholic
меласса	molasses
мелекс	melex
мелизм	ornament
мелизматический	melismatic
мелильянец	melillan
мелинит	melinite
мелиорация	amelioration,land betterment
мелиорировать	ameliorate,meliorate,reclaim
мелирование	frosting,highlighting,highlights,streaking
мелисса	melissa,sweet-mary
мелиссан	melissane
мелистый	shelvy
мелитоза	melitose,melitriose,raffinose
мелкий	fine,fine-grained,little,mean,petty,shallow,small
мелко	finely,shallowly
мелкобуржуазный	petty bourgeois,petty-bourgeois
мелкодисперсный	fine-dispersed
мелкозубый	fine-tooth,short-toothed
мелколесье	coppice,low forest,undergrowth
мелкомодульный	fine-module
мелкооптовый	small-batch
мелкосерийный	short-run,shortrun,small-scale,small-serial
мелкосидящий	shallow-draught
мелкошиповатый	aculeolate
мелкошёрстный	short-haired
мелкошёрстый	short-haired
мелкоячеистый	close-meshed,fine-meshed,small-meshed
мелкоячейковый	close-meshed,fine-meshed,small-meshed
мелкоячейный	close-meshed,fine-meshed,small-meshed
меловой	chalk,chalky,cretaceous
мелодика	melodics
мелодист	melodist
мелодия	melody,tune
мелодрама	melodrama
мелок	chalk
меломан	melomaniac,music lover
меломания	melomania
мелонит	melonite
мелочной	hair-splitting,less,lesser,little,petty,trifling
мелочь	odd money,small fry,small things,trifle
мель	bank,shallow,shoal
мельгунов	melgunov
мелькать	flash,flicker,glimpse,twinkle
мелькнуть	flash,flicker,gleam,glimmer
мельник	miller
мельников	melnikov
мельница	coffee mill,mill
